id	authId	authSource	name
GND-116714085	116714085	GND	Brosch, Moritz
GND-11728615X	11728615X	GND	Weniger, Ludwig
GND-116586842	116586842	GND	Gerlach, Franz Dorotheus
GND-1056420685	1056420685	GND	Servanzi-Collio, Severino
GND-118534955	118534955	GND	Franz <II., Heiliges Römisches Reich, Kaiser>
GND-117368644	117368644	GND	Wieseler, Friedrich
GND-118979752	118979752	GND	Hornthal, Johann Peter von
GND-120179296	120179296	GND	Vaux, William S. W.
GND-116848642	116848642	GND	Le Bas, Philippe
GND-117191388	117191388	GND	Overbeck, Johannes
GND-117029270	117029270	GND	Migliarini, Angelo Michele
GND-116395540	116395540	GND	Falkener, Edward
GND-118883712	118883712	GND	Huber, Therese
GND-118568558	118568558	GND	Lachmann, Karl
KPE-906315	906315	KPE	Romano, Antonio
GND-116389117	116389117	GND	Avellino, Francesco Maria
GND-116170204	116170204	GND	Kießling, Adolf
GND-116754427	116754427	GND	Hertz, Martin
GND-116061197	116061197	GND	Karsten, Gustav
KPE-916603	916603	KPE	Cerroti, Francesco
GND-116439521	116439521	GND	Gargallo-Grimaldi, Filippo
GND-116962291	116962291	GND	Levezow, Konrad
GND-1076744591	1076744591	GND	Trivulzio, Giovanni Giacomo
KPE-118795	118795	KPE	Universität Bonn -1818-
GND-117107565	117107565	GND	Schubarth, Carl Ernst
GND-116278021	116278021	GND	Pourtalès, Friedrich von
GND-126192405	126192405	GND	Bethmann, Ludwig Conrad
GND-1132344522	1132344522	GND	Acquacotta, Placido
KPE-915073	915073	KPE	Warrender, George
GND-119239841	119239841	GND	Rosellini, Ippolito
GND-118535986	118535986	GND	Friedrich Wilhelm III., Preußen, König
GND-116785055	116785055	GND	Heuzey, Léon
GND-116433132	116433132	GND	Reiz, Friedrich Wolfgang
GND-10111852X	10111852X	GND	Hahland, Walter
GND-1055229396	1055229396	GND	Angelucci, Giulio Anastasio
GND-118658638	118658638	GND	Beseler, Wilhelm Hartwig
GND-1055452540	1055452540	GND	Lapasse, Louis Charles Edouard de
KPE-354252	354252	KPE	Simon, Hertha
KPE-906051	906051	KPE	Dei, Francesco
KPE-13380	13380	KPE	Jenaische Allgemeine Literatur-Zeitung
GND-100140416	100140416	GND	Gaupp, Ernst Theodor
GND-116177462	116177462	GND	Donaldson, Thomas Leverton
GND-118704281	118704281	GND	Hettner, Hermann
GND-116125888	116125888	GND	Kellermann, Olaus Christian
GND-1099933358	1099933358	GND	Grifi, Luigi
GND-11905938X	11905938X	GND	Bonitz, Hermann
GND-117681938	117681938	GND	Vermiglioli, Giovanni Battista
GND-11738688X	11738688X	GND	Tippelskirch, Friedrich Carl Ernst August von
KPE-917643	917643	KPE	Cinci, Giusto
GND-116830727	116830727	GND	Fröhner, Wilhelm
GND-118523066	118523066	GND	Curtius, Ludwig
GND-117586757	117586757	GND	Noordziek, J.J.F
GND-116450932	116450932	GND	Reumont, Alfred von
GND-119059622	119059622	GND	Raumer, Friedrich von
GND-116297530	116297530	GND	Ambrosch, Jac. J. Athanasius
GND-132035758	132035758	GND	Capialbi, Vito
GND-118616641	118616641	GND	Stahl, Friedrich Julius
GND-11606899X	11606899X	GND	Bartholdy, Jakob L. S.
GND-117520128	117520128	GND	Kirckhoff, Joseph Romain Louis de
GND-116133449	116133449	GND	Bergmann, Wilhelm Richard
GND-117157244	117157244	GND	Bunsen, Carl von
GND-116608838	116608838	GND	Roscher, Wilhelm
GND-11875579X	11875579X	GND	Straube, Heinrich
GND-11947364X	11947364X	GND	Spengel, Leonhard
GND-116920556	116920556	GND	Guhl, Ernst Karl
GND-1185448756	1185448756	GND	Freudenreich, Friedrich Niklaus von
GND-119382091	119382091	GND	Christian <VIII. Dänemark, König>
GND-11861164X	11861164X	GND	Schumann, Clara
GND-117212601	117212601	GND	Longpérier, Adrien de
GND-104366508	104366508	GND	Parthey, Gustav
GND-1128097672	1128097672	GND	Brühl, Albrecht von
