id	name	authId	authSource	lat	lng
DE-611-11257	Giebichenstein	11257	DE-611	null	null
GAZ-2044923	Giebichenstein <Halle (Saale)>	2044923	GAZ	51.5025	11.954444
GAZ-2176820	Gießen	2176820	GAZ	50.581984	8.670218
GAZ-2765500	Glückstadt	2765500	GAZ	53.788125	9.423989
GND-4021373-0	Gmünd <Niederösterreich>	4021373-0	GND	48.768055	14.980555
GAZ-2073655	Gossensaß	2073655	GAZ	46.93857	11.44245
GAZ-2053014	Gotha	2053014	GAZ	50.94823	10.70193
GAZ-2359867	Granada	2359867	GAZ	37.18817	-3.60667
GAZ-2049802	Greifswald	2049802	GAZ	54.096363	13.378483
GAZ-2765501	Greiz	2765501	GAZ	50.654722	12.199722
GND-4417514-0	Grottammare	4417514-0	GND	42.98875	13.86489
DE-611-27427	Gubbio	27427	DE-611	null	null
GAZ-2765488	Guşteriţa	2765488	GAZ	45.811111	24.177778
GAZ-2044647	Görlitz	2044647	GAZ	51.15518	14.98853
GAZ-2424907	Göttingen	2424907	GAZ	51.53443	9.93228
DE-611-2550	Hadamar	2550	DE-611	null	null
DE-611-55964	Hage	55964	DE-611	null	null
DE-611-3021304	Halle	3021304	DE-611	null	null
GAZ-2044919	Halle (Saale)	2044919	GAZ	51.483146	11.969423
GAZ-2052755	Hamburg	2052755	GAZ	53.549678	9.992638
GAZ-2180527	Hanau	2180527	GAZ	50.128343	8.916326
GAZ-2050656	Hannover	2050656	GAZ	52.37052	9.73322
GAZ-2045637	Heidelberg	2045637	GAZ	49.41056	8.69556
GAZ-2064754	Helsinki	2064754	GAZ	60.16952	24.93545
DE-611-5357	Hyére	5357	DE-611	null	null
GND-4253735-6	Igls	4253735-6	GND	null	null
GAZ-2063018	Innsbruck	2063018	GAZ	47.26266	11.39454
GAZ-2285315	Istanbul	2285315	GAZ	41.01384	28.94966
GAZ-4096359-7	Izmir	4096359-7	GAZ	38.41273	27.13838
GAZ-2283175	Izmir	2283175	GAZ	38.41273	27.13838
GAZ-2091659	Jelgava	2091659	GAZ	56.65	23.71278
GAZ-2053060	Jena	2053060	GAZ	50.92878	11.5899
GAZ-2734970	Karlsbad	2734970	GAZ	50.232168	12.871619
GAZ-2424900	Karlsruhe	2424900	GAZ	49.00936	8.40444
GAZ-2179801	Kassel	2179801	GAZ	51.311922	9.491599
GAZ-2052777	Kiel	2052777	GAZ	54.32133	10.13489
DE-611-26371	Klagenfurt	26371	DE-611	null	null
GAZ-2073640	Klobenstein	2073640	GAZ	46.53988	11.45933
GAZ-2090381	Kopenhagen	2090381	GAZ	55.67594	12.56553
GND-4073728-7	Korfu	4073728-7	GND	39.598055	19.852222
GND-4098741-3	Krummhübel	4098741-3	GND	50.77669	15.75594
GAZ-2051668	Köln	2051668	GAZ	50.938279	6.953133
GAZ-2090364	Königsberg	2090364	GAZ	54.70649	20.51095
DE-611-26143	Köthen	26143	DE-611	null	null
GND-4031616-6	Köthen (Anhalt)	4031616-6	GND	51.751666	11.970833
GAZ-2090575	L'Aquila	2090575	GAZ	42.35055	13.39954
DE-611-28513	Lahr	28513	DE-611	null	null
GND-4034340-6	Landsberg (Warthe)	4034340-6	GND	52.736666	15.228611
GAZ-2320145	Lecce	2320145	GAZ	40.354712	18.175058
GAZ-2086048	Leiden	2086048	GAZ	52.15833	4.49306
GAZ-2315108	Leipzig	2315108	GAZ	51.33962	12.37129
GAZ-2062677	Linz	2062677	GAZ	48.305235	14.286089
GAZ-2345198	Lissabon	2345198	GAZ	38.71667	-9.13333
GAZ-4036068-4	Liverpool	4036068-4	GAZ	53.41058	-2.97794
GAZ-2320171	Livorno	2320171	GAZ	43.54427	10.32615
GAZ-2090478	London	2090478	GAZ	51.50853	-0.12574
GND-4315034-2	London-Hackney	4315034-2	GND	51.549999	-0.05
GND-5245396-0	Loschwitz	5245396-0	GND	null	null
GAZ-2077169	Lourdes	2077169	GAZ	43095	-0.045278
DE-611-26250	Lucca	26250	DE-611	null	null
GAZ-2320160	Lucera	2320160	GAZ	41.508133	15.335498
DE-611-3003626	Luchon	3003626	DE-611	null	null
GAZ-2058266	Luzern	2058266	GAZ	47.05048	8.30635
GAZ-2080762	Lyon	2080762	GAZ	45.74846	4.84671
GAZ-2052781	Lübeck	2052781	GAZ	53.86893	10.68729
GAZ-2287703	Madrid	2287703	GAZ	40.4165	-3.70256
GAZ-2426301	Magdeburg	2426301	GAZ	52.12773	11.62916
GAZ-2091266	Mailand	2091266	GAZ	45.46427	9.18951
GAZ-2052457	Mainz	2052457	GAZ	49.999116	8.272276
DE-611-17221	Malta	17221	DE-611	null	null
GAZ-2091354	Manchester	2091354	GAZ	53.48095	-2.23743
GAZ-2045837	Mannheim	2045837	GAZ	49.49671	8.47955
GAZ-2299061	Mantua	2299061	GAZ	45.159745	10.793467
GAZ-2180601	Marburg	2180601	GAZ	50.807684	8.772256
GAZ-2080498	Marseille	2080498	GAZ	43.29695	5.38107
GAZ-2080125	Mende	2080125	GAZ	44.51667	3.5
GAZ-2073681	Meran	2073681	GAZ	46.66812	11.16127
GAZ-2299105	Messina	2299105	GAZ	38.19394	15.55256
DE-611-3022385	Mileto	3022385	DE-611	null	null
DE-611-28723	Mirabella Eclano	28723	DE-611	null	null
GND-4115170-7	Modena	4115170-7	GND	44.647829	10.92539
DE-611-28745	Molfetta	28745	DE-611	null	null
DE-611-69843	Montale	69843	DE-611	null	null
GND-4235615-5	Monte San Savino	4235615-5	GND	43.329239	11.729739
GAZ-2072585	Montecassino	2072585	GAZ	41.490431	13.813385
GND-4596617-5	Montecastrilli	4596617-5	GND	42.65243	12.488569
DE-611-28759	Montecatini Terme	28759	DE-611	null	null
DE-611-69252	Montenero di Bisaccia	69252	DE-611	null	null
DE-611-28768	Montepulciano	28768	DE-611	null	null
GND-4341625-1	Montreuil <Departement Seine-Saint-Denis>	4341625-1	GND	null	null
GAZ-2091741	Moskau	2091741	GAZ	55.75222	37.61556
DE-611-3020577	Mundart Sizilianisch <Lentini>	3020577	DE-611	null	null
GAZ-4040608-8	Münster (Westf)	4040608-8	GAZ	51.96236	7.62571
DE-611-26272	Málaga	26272	DE-611	null	null
DE-611-28639	Mâcon	28639	DE-611	null	null
DE-611-26337	München	26337	DE-611	null	null
GAZ-2047696	München	2047696	GAZ	48.137164054834535	11.57559871673584
GAZ-2180910	Narni	2180910	GAZ	42.51956	12.52758
GAZ-2116137	Naumburg (Saale)	2116137	GAZ	51.14987	11.80979
GAZ-2338719	Neapel	2338719	GAZ	40.846442	14.25156
DE-611-3021329	Nereto	3021329	DE-611	null	null
GND-4249148-4	Neumarkt <Niederschlesien>	4249148-4	GND	null	null
GAZ-2052787	Neumünster	2052787	GAZ	54.071396	9.989997
GAZ-2052508	Neuwied	2052508	GAZ	50.4336	7.47057
DE-611-54298	New York	54298	DE-611	null	null
GAZ-2090485	New York, NY	2090485	GAZ	40.71427	-74.00597
GND-4117851-8	Newcastle-under-Lyme	4117851-8	GND	53.0	-2.23333
DE-611-28862	Nice	28862	DE-611	null	null
GND-7649445-7	Nicotera	7649445-7	GND	38.548888	15.935833
GAZ-2042894	Nil	2042894	GAZ	30.020098	31.220171
DE-611-55918	Nishni Nowgorod	55918	DE-611	null	null
DE-611-26726	Nocera	26726	DE-611	null	null
GAZ-2071626	Nola	2071626	GAZ	40.926929	14.527222
DE-611-56220	Noordwijk	56220	DE-611	null	null
GAZ-2749101	Norderney	2749101	GAZ	53.71535	7.24042
DE-611-28818	Náfplion	28818	DE-611	null	null
GAZ-2765502	Oberbozen	2765502	GAZ	46.527777	11.405555
GAZ-2069707	Odessa	2069707	GAZ	46.47747	30.73262
DE-611-28943	Offida	28943	DE-611	null	null
GND-1024971945	Ohne Ort	1024971945	GND	null	null
GAZ-2050934	Oldenburg (Oldenburg)	2050934	GAZ	53.140379	8.212941
GND-4454216-1	Olevano Romano	4454216-1	GND	41.860619	13.033089
DE-611-11341	Olympia	11341	DE-611	null	null
GAZ-2045067	Oranienbaum	2045067	GAZ	51.799167	12.406944
GAZ-2092379	Orléans	2092379	GAZ	47.90289	1.90389
DE-611-28969	Ortona	28969	DE-611	null	null
GAZ-2180915	Orvieto	2180915	GAZ	42.71924	12.11249
GAZ-2279218	Osnabrück	2279218	GAZ	52.27264	8.048513
GND-4044295-0	Padua	4044295-0	GND	45.41519	11.881809
GAZ-4137741-2	Palazzolo (Acreide)	4137741-2	GAZ	37.057254	14.894516
DE-611-3021919	Palazzolo sull'Oglio	3021919	DE-611	null	null
GAZ-2359599	Palermo	2359599	GAZ	38.13205	13.33561
DE-611-28996	Palestrina	28996	DE-611	null	null
GAZ-2050149	Parchim	2050149	GAZ	53.428164	11.847548
GAZ-2081915	Paris	2081915	GAZ	48.86107	2.32025
GAZ-2338726	Parma	2338726	GAZ	44.79935	10.32618
GAZ-2307594	Patras	2307594	GAZ	38.24444	21.73444
GAZ-2359580	Pavia	2359580	GAZ	45.184738	9.154621
GND-4075982-9	Pergamon	4075982-9	GND	null	null
GAZ-2180917	Perugia	2180917	GAZ	43.1122	12.38878
GAZ-2359581	Pesaro	2359581	GAZ	43.90921	12.9164
DE-611-3011456	Pforta	3011456	DE-611	null	null
DE-611-56338	Pforte	56338	DE-611	null	null
DE-611-26725	Piacenza	26725	DE-611	null	null
GAZ-2326747	Pisa	2326747	GAZ	43.70853	10.4036
GAZ-2359616	Pistoia	2359616	GAZ	43.932467	10.92144
GAZ-2338718	Pompeji	2338718	GAZ	40.751642	14.486162
GAZ-2750053	Popoli	2750053	GAZ	42.16866	13.82997
DE-611-26503	Porto	26503	DE-611	null	null
GAZ-2746500	Portoferraio	2746500	GAZ	42.81233	10.31297
GAZ-2338580	Potenza	2338580	GAZ	40.63858	15.804627
GAZ-2048849	Potsdam	2048849	GAZ	52.397414	13.058283
DE-611-3012801	Pozzuoli	3012801	DE-611	null	null
GAZ-2093361	Prag	2093361	GAZ	50.087444	14.42095
GAZ-2044667	Quedlinburg	2044667	GAZ	51.78843	11.15006
GND-4572404-0	Radicofani	4572404-0	GND	null	null
