id	authId	authSource	name
GND-118685279	118685279	GND	Ernst <Sachsen-Coburg-Gotha, Herzog, II.>
GND-117608440	117608440	GND	Blouet, Guillaume-Abel
GND-129603325	129603325	GND	Kandler, Pietro
GND-116647698	116647698	GND	Lajard, Felix
GND-11622486X	11622486X	GND	Börner, Karl Gustav
GND-1055306846	1055306846	GND	Frigell, Anders
GND-118798359	118798359	GND	Stackelberg, Otto Magnus von
GND-105377009X	105377009X	GND	Blanco, Lorenzo
GND-116457112	116457112	GND	Reuvens, Kaspar Jakob Christian
GND-116522976	116522976	GND	Gell, William
GND-117164887	117164887	GND	Weber, Johann David
GND-116830727	116830727	GND	Fröhner, Wilhelm
GND-117340995	117340995	GND	Thile, Hermann von
KPE-907063	907063	KPE	Barone, Raffaele
GND-116777273	116777273	GND	Brunn, Heinrich von
GND-118608045	118608045	GND	Schleiermacher, Friedrich
KPE-907028	907028	KPE	Barberi, Tito
KPE-747037	747037	KPE	Braun, Leopold
GND-104257423	104257423	GND	Bruce, John Wyndham
GND-1081937637	1081937637	GND	Dragonetti, Luigi
GND-119291622	119291622	GND	Bucci, Donato
GND-116510978	116510978	GND	Hase, Heinrich
GND-117267821	117267821	GND	Uhden, Wilhelm
GND-116052635	116052635	GND	Passow, Arnold
GND-11667928X	11667928X	GND	Helbig, Nadine
GND-11715900X	11715900X	GND	Weber, Georg
GND-117695262	117695262	GND	Redern, Johann Friedrich Sigismund Ehrenreich von
GND-116243163	116243163	GND	Duhn, Friedrich von
GND-11634850X	11634850X	GND	Haase, Friedrich
GND-104930618X	104930618X	GND	Conticini, Pietro
GND-118535994	118535994	GND	Friedrich Wilhelm IV., Preußen, König
GND-116137304	116137304	GND	Bernd, Christian Samuel Theodor
GND-117312940	117312940	GND	Strecker, Adolph
GND-116657154	116657154	GND	Heimbach, Gustav Ernst
GND-116447621	116447621	GND	Capobianchi, Pietro
GND-1168235898	1168235898	GND	Borbone, Leopoldo di
GND-117731609	117731609	GND	Egloffstein, August Karl von
GND-11690948X	11690948X	GND	Lenormant, Charles
GND-117598577	117598577	GND	Müller, Lucian
GND-118743872	118743872	GND	Rehberg, August Wilhelm
GND-1146914628	1146914628	GND	Schulz, Louis
KPE-915170	915170	KPE	Bocchi, Benvenuto
GND-116433132	116433132	GND	Reiz, Friedrich Wolfgang
GND-1055345817	1055345817	GND	Diamilla Müller, Demetrio Emilio
GND-119202662	119202662	GND	Passavant, Johann David
GND-118584596	118584596	GND	Mozart, Wolfgang Amadeus
GND-1096776502	1096776502	GND	Formis, Achille
GND-1083010204	1083010204	GND	Belli, Francesco
GND-118763946	118763946	GND	Usener, Hermann
GND-116098309	116098309	GND	Beauharnais, Nicolaus von
GND-117174556	117174556	GND	Burman, Pieter
KPE-906572	906572	KPE	Bellotti, Pietro
GND-116404310	116404310	GND	Reifferscheid, August
GND-103116605	103116605	GND	Rossteuscher, Ernst Adolf
GND-117145211	117145211	GND	Orioli, Francesco
KPE-325898	325898	KPE	Stürenburg
GND-116001127	116001127	GND	Abeken, Heinrich
GND-116981288	116981288	GND	Hopf, Carl
GND-100672000	100672000	GND	Vömel, Theodor
KPE-460495	460495	KPE	Arnoult, Eugène
GND-1055308792	1055308792	GND	Funchal, Domingos Antonio de Sousa Coutinho de
GND-116133147	116133147	GND	Bergmann, Joseph
GND-11850553X	11850553X	GND	Bach, Johann Sebastian
GND-118567551	118567551	GND	Kügelgen, Wilhelm von
GND-119096552	119096552	GND	Gesenius, Wilhelm
GND-116237597	116237597	GND	Bonaparte, Charles Lucian
GND-100370306	100370306	GND	Lodge, Edmund
GND-116210265	116210265	GND	Klee, Julius
GND-118583425	118583425	GND	Mommsen, Theodor
GND-115670009	115670009	GND	Weise, Carl Hermann
GND-11733376X	11733376X	GND	Schwabe, Ludwig
GND-35363-2	35363-2	GND	Istituto di Corrispondenza Archeologica
GND-116517158	116517158	GND	Ciampi, Sebastiano
GND-117047643	117047643	GND	Minckwitz, Johannes
GND-123289033	123289033	GND	Capranesi, Francesco
GND-117590037	117590037	GND	Beulé, Charles-Ernest
GND-11753532X	11753532X	GND	Houghton, Richard Monckton Milnes
GND-136672760	136672760	GND	Mauermann, Ignaz Bernhard
GND-113667485	113667485	GND	Wigand, Paul
GND-117019135	117019135	GND	Sauppe, Hermann
GND-118808850	118808850	GND	Böckh, August
