origin_name,origin_lat,origin_lng,reception_label,reception_lat,reception_lng,letter_count
Heidelberg,49.407679,8.690789,Rom,41.894739,12.4839,1
London,51.50853,-0.12574,Bonn,50.734166,7.095277,1
Braunschweig,52.26594,10.52673,Berlin,52.5,13.416669,1
Venedig,45.438609,12.32667,Berlin,52.5,13.416669,1
Berlin,52.5,13.416669,Neapel,40.833329,14.25,1
Göttingen,51.539329,9.93406,Rom,41.894739,12.4839,1
Florenz,43.766669,11.25,Breslau,51.1,17.033329,1
Greifswald,54.09311,13.387859,Bonn,50.734166,7.095277,1
Wien,48.208199,16.37169,Bonn,50.734166,7.095277,1
Basel,47.549999,7.58333,Berlin,52.5,13.416669,1
Jena,50.92878,11.5899,Rom,41.894739,12.4839,1
Neapel,40.833329,14.25,Paris,48.853409,2.3488,1
Köln,50.933333,6.95,Rom,41.894739,12.4839,1
Gießen,50.583329,8.65,Rom,41.894739,12.4839,1
